,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
19,227.01,227.78,223.09,223.96,48156700.0,227.78,223.09,223.96,227.01,48201835.0,1.0,0.0,AAPL,XNAS,2024-07-22T00:00:00+0000
20,224.82,226.8,223.28,224.31,48992100.0,226.8,223.275,224.31,224.82,49151453.0,1.0,0.0,AAPL,XNAS,2024-07-19T00:00:00+0000
21,230.28,230.44,222.27,224.18,65964400.0,230.44,222.27,224.18,230.28,66034585.0,1.0,0.0,AAPL,XNAS,2024-07-18T00:00:00+0000
22,229.45,231.46,226.64,228.88,57281800.0,231.4599,226.64,228.88,229.45,57345884.0,1.0,0.0,AAPL,XNAS,2024-07-17T00:00:00+0000
23,235.0,236.27,232.33,234.82,43176800.0,236.27,232.33,234.82,235.0,43234278.0,1.0,0.0,AAPL,XNAS,2024-07-16T00:00:00+0000
24,236.532,237.23,233.09,234.4,58409071.0,237.23,233.09,234.4,236.48,62631252.0,1.0,0.0,AAPL,XNAS,2024-07-15T00:00:00+0000
25,228.92,232.64,228.68,230.54,53008200.0,232.64,228.68,230.54,228.92,53046527.0,1.0,0.0,AAPL,XNAS,2024-07-12T00:00:00+0000
26,231.39,232.39,225.77,227.57,64516900.0,232.39,225.77,227.57,231.39,64710617.0,1.0,0.0,AAPL,XNAS,2024-07-11T00:00:00+0000
27,229.3,233.08,229.25,232.98,62557700.0,233.08,229.25,232.98,229.3,62627687.0,1.0,0.0,AAPL,XNAS,2024-07-10T00:00:00+0000
28,227.93,229.4,226.37,228.68,48076100.0,229.4,226.3721,228.68,227.93,48169822.0,1.0,0.0,AAPL,XNAS,2024-07-09T00:00:00+0000
29,227.09,227.85,223.25,227.82,58979000.0,227.85,223.25,227.82,227.09,59085861.0,1.0,0.0,AAPL,XNAS,2024-07-08T00:00:00+0000
30,221.65,226.45,221.65,226.34,60330900.0,226.45,221.65,226.34,221.65,60412408.0,1.0,0.0,AAPL,XNAS,2024-07-05T00:00:00+0000
31,220.0,221.55,219.03,221.55,37369801.0,221.55,219.03,221.55,220.0,37369801.0,1.0,0.0,AAPL,XNAS,2024-07-03T00:00:00+0000
32,216.15,220.38,215.1,220.27,56716509.0,220.38,215.1,220.27,216.15,58046178.0,1.0,0.0,AAPL,XNAS,2024-07-02T00:00:00+0000
33,212.13,217.51,211.92,216.75,59923038.0,217.51,211.92,216.75,212.09,60402929.0,1.0,0.0,AAPL,XNAS,2024-07-01T00:00:00+0000
34,215.77,216.07,210.3,210.62,82475600.0,216.07,210.3,210.62,215.77,82542718.0,1.0,0.0,AAPL,XNAS,2024-06-28T00:00:00+0000
35,214.63,215.7395,212.35,214.1,49566822.0,215.7395,212.35,214.1,214.69,49772707.0,1.0,0.0,AAPL,XNAS,2024-06-27T00:00:00+0000
36,211.5,214.86,210.64,213.25,64292900.0,214.86,210.64,213.25,211.5,66213186.0,1.0,0.0,AAPL,XNAS,2024-06-26T00:00:00+0000
37,209.08,211.38,208.61,209.07,56267620.0,211.38,208.61,209.07,209.15,56713868.0,1.0,0.0,AAPL,XNAS,2024-06-25T00:00:00+0000
38,207.72,212.7,206.59,208.14,78306092.0,212.7,206.59,208.14,207.72,80727006.0,1.0,0.0,AAPL,XNAS,2024-06-24T00:00:00+0000
39,210.39,211.89,207.11,207.49,241805100.0,211.89,207.11,207.49,210.39,246421353.0,1.0,0.0,AAPL,XNAS,2024-06-21T00:00:00+0000
40,213.93,214.24,208.85,209.68,85999620.0,214.24,208.85,209.68,213.93,86172451.0,1.0,0.0,AAPL,XNAS,2024-06-20T00:00:00+0000
41,217.61,218.63,213.0,214.29,79685043.0,218.63,213.0,214.29,217.59,79943254.0,1.0,0.0,AAPL,XNAS,2024-06-18T00:00:00+0000
42,213.3,218.945,212.72,216.67,92624350.0,218.95,212.72,216.67,213.37,93728300.0,1.0,0.0,AAPL,XNAS,2024-06-17T00:00:00+0000
43,213.85,215.17,211.3,212.49,69175600.0,215.17,211.3,212.49,213.85,70122748.0,1.0,0.0,AAPL,XNAS,2024-06-14T00:00:00+0000
44,214.78,216.75,211.6,214.24,96416123.0,216.75,211.6,214.24,214.74,97862729.0,1.0,0.0,AAPL,XNAS,2024-06-13T00:00:00+0000
45,207.36,220.2,206.91,213.07,194031540.0,220.2,206.9,213.07,207.37,198134293.0,1.0,0.0,AAPL,XNAS,2024-06-12T00:00:00+0000
46,193.66,207.16,193.64,207.15,168874733.0,207.16,193.63,207.15,193.65,172373296.0,1.0,0.0,AAPL,XNAS,2024-06-11T00:00:00+0000
47,197.2,197.2801,192.15,193.12,95293555.0,197.3,192.15,193.12,196.9,97262077.0,1.0,0.0,AAPL,XNAS,2024-06-10T00:00:00+0000
48,194.65,196.94,194.14,196.89,53044700.0,196.94,194.14,196.89,194.65,53103912.0,1.0,0.0,AAPL,XNAS,2024-06-07T00:00:00+0000
49,195.685,196.5,194.17,194.48,40958779.0,196.5,194.17,194.48,195.685,41181753.0,1.0,0.0,AAPL,XNAS,2024-06-06T00:00:00+0000
50,195.42,196.9,194.88,195.87,53018496.0,196.9,194.87,195.87,195.4,54156785.0,1.0,0.0,AAPL,XNAS,2024-06-05T00:00:00+0000
51,194.72,195.32,193.0342,194.35,45319734.0,195.32,193.0342,194.35,194.635,47471445.0,1.0,0.0,AAPL,XNAS,2024-06-04T00:00:00+0000
52,192.98,194.99,192.53,194.03,49815970.0,194.99,192.52,194.03,192.9,50080539.0,1.0,0.0,AAPL,XNAS,2024-06-03T00:00:00+0000
53,191.44,192.57,189.91,192.25,75115100.0,192.57,189.91,192.25,191.44,75158277.0,1.0,0.0,AAPL,XNAS,2024-05-31T00:00:00+0000
54,190.785,192.18,190.63,191.29,49775830.0,192.18,190.63,191.29,190.76,49947941.0,1.0,0.0,AAPL,XNAS,2024-05-30T00:00:00+0000
55,189.51,192.247,189.51,190.29,52538500.0,192.247,189.51,190.29,189.61,53068016.0,1.0,0.0,AAPL,XNAS,2024-05-29T00:00:00+0000
56,191.532,192.99,189.1,189.99,52071035.0,193.0,189.1,189.99,191.51,52280051.0,1.0,0.0,AAPL,XNAS,2024-05-28T00:00:00+0000
57,188.82,190.58,188.0404,189.98,36326975.0,190.58,188.0404,189.98,188.82,36326975.0,1.0,0.0,AAPL,XNAS,2024-05-24T00:00:00+0000
58,191.0,191.0,186.625,186.88,50481918.0,191.0,186.625,186.88,190.98,51005924.0,1.0,0.0,AAPL,XNAS,2024-05-23T00:00:00+0000
59,192.25,192.8231,190.27,190.9,34038227.0,192.8231,190.27,190.9,192.265,34648547.0,1.0,0.0,AAPL,XNAS,2024-05-22T00:00:00+0000
60,191.09,192.73,190.9201,192.35,41934946.0,192.73,190.9201,192.35,191.09,42309401.0,1.0,0.0,AAPL,XNAS,2024-05-21T00:00:00+0000
61,189.35,191.9199,189.01,191.04,44212974.0,191.9199,189.01,191.04,189.325,44361275.0,1.0,0.0,AAPL,XNAS,2024-05-20T00:00:00+0000
62,189.51,190.81,189.18,189.87,41260800.0,190.81,189.18,189.87,189.51,41282925.0,1.0,0.0,AAPL,XNAS,2024-05-17T00:00:00+0000
63,190.516,191.095,189.6601,189.84,52779567.0,191.095,189.6601,189.84,190.47,52845230.0,1.0,0.0,AAPL,XNAS,2024-05-16T00:00:00+0000
64,187.98,190.65,187.38,189.72,70172471.0,190.65,187.37,189.72,187.91,70399988.0,1.0,0.0,AAPL,XNAS,2024-05-15T00:00:00+0000
65,187.65,188.3,186.29,187.43,50462954.0,188.3,186.29,187.43,187.51,52393619.0,1.0,0.0,AAPL,XNAS,2024-05-14T00:00:00+0000
66,185.435,187.1,184.62,186.28,70169719.0,187.1,184.62,186.28,185.435,72044809.0,1.0,0.0,AAPL,XNAS,2024-05-13T00:00:00+0000
67,184.9,185.09,182.13,183.05,50727400.0,185.09,182.13,183.05,184.9,50759496.0,1.0,0.25,AAPL,XNAS,2024-05-10T00:00:00+0000
68,182.56,184.65,182.12,184.57,47065371.0,184.66,182.11,184.57,182.56,48982972.0,1.0,0.0,AAPL,XNAS,2024-05-09T00:00:00+0000
69,182.71,183.05,181.46,182.74,43866551.0,183.07,181.45,182.74,182.85,45057087.0,1.0,0.0,AAPL,XNAS,2024-05-08T00:00:00+0000
70,183.45,184.9,181.32,182.4,72868843.0,184.9,181.32,182.4,183.45,77305771.0,1.0,0.0,AAPL,XNAS,2024-05-07T00:00:00+0000
71,182.354,184.17,180.42,181.71,76249821.0,184.2,180.42,181.71,182.354,78569667.0,1.0,0.0,AAPL,XNAS,2024-05-06T00:00:00+0000
72,186.67,187.0,182.66,183.36,163224109.0,187.0,182.66,183.36,186.645,163224109.0,1.0,0.0,AAPL,XNAS,2024-05-03T00:00:00+0000
73,172.51,173.42,170.89,173.03,92880600.0,173.415,170.89,173.03,172.51,94214915.0,1.0,0.0,AAPL,XNAS,2024-05-02T00:00:00+0000
74,169.8,172.69,169.11,169.3,49377085.0,172.705,169.11,169.3,169.58,50383147.0,1.0,0.0,AAPL,XNAS,2024-05-01T00:00:00+0000
75,173.202,174.99,170.0,170.33,65696405.0,174.99,170.0,170.33,173.33,65934776.0,1.0,0.0,AAPL,XNAS,2024-04-30T00:00:00+0000
76,173.39,176.03,173.12,173.5,66144936.0,176.03,173.1,173.5,173.37,68169419.0,1.0,0.0,AAPL,XNAS,2024-04-29T00:00:00+0000
77,169.88,171.34,169.18,169.3,44525100.0,171.34,169.18,169.3,169.88,44838354.0,1.0,0.0,AAPL,XNAS,2024-04-26T00:00:00+0000
78,169.6,170.61,168.1511,169.89,49712820.0,170.61,168.1511,169.89,169.525,50558329.0,1.0,0.0,AAPL,XNAS,2024-04-25T00:00:00+0000
79,166.4,169.3,166.21,169.02,47315677.0,169.3,166.21,169.02,166.54,48251835.0,1.0,0.0,AAPL,XNAS,2024-04-24T00:00:00+0000
80,165.26,167.05,164.93,166.9,48868033.0,167.05,164.92,166.9,165.35,49537761.0,1.0,0.0,AAPL,XNAS,2024-04-23T00:00:00+0000
81,165.75,167.26,164.77,165.84,48014675.0,167.26,164.77,165.84,165.515,48116443.0,1.0,0.0,AAPL,XNAS,2024-04-22T00:00:00+0000
82,166.21,166.4,164.08,165.0,67772100.0,166.4,164.075,165.0,166.21,68149377.0,1.0,0.0,AAPL,XNAS,2024-04-19T00:00:00+0000
83,168.0,168.64,166.55,167.04,41519330.0,168.64,166.55,167.04,168.03,43122903.0,1.0,0.0,AAPL,XNAS,2024-04-18T00:00:00+0000
84,169.58,170.64,168.0,168.0,50205853.0,170.65,168.0,168.0,169.61,50901210.0,1.0,0.0,AAPL,XNAS,2024-04-17T00:00:00+0000
85,171.71,173.755,168.27,169.38,72646896.0,173.76,168.27,169.38,171.75,73711235.0,1.0,0.0,AAPL,XNAS,2024-04-16T00:00:00+0000
86,175.38,176.63,172.5,172.69,73096917.0,176.63,172.5,172.69,175.36,73531773.0,1.0,0.0,AAPL,XNAS,2024-04-15T00:00:00+0000
87,174.26,178.36,174.21,176.55,101593300.0,178.36,174.21,176.55,174.26,101670886.0,1.0,0.0,AAPL,XNAS,2024-04-12T00:00:00+0000
88,168.25,175.46,168.1601,175.04,90735979.0,175.46,168.16,175.04,168.34,91070275.0,1.0,0.0,AAPL,XNAS,2024-04-11T00:00:00+0000
89,168.84,169.09,167.11,167.78,49403371.0,169.09,167.11,167.78,168.8,49709336.0,1.0,0.0,AAPL,XNAS,2024-04-10T00:00:00+0000
90,168.692,170.075,168.35,169.67,42118695.0,170.08,168.35,169.67,168.7,42231444.0,1.0,0.0,AAPL,XNAS,2024-04-09T00:00:00+0000
91,169.06,169.19,168.24,168.45,37170774.0,169.2,168.24,168.45,169.03,37216858.0,1.0,0.0,AAPL,XNAS,2024-04-08T00:00:00+0000
92,169.59,170.39,168.95,169.58,42055200.0,170.39,168.95,169.58,169.59,41975776.0,1.0,0.0,AAPL,XNAS,2024-04-05T00:00:00+0000
93,170.29,171.92,168.82,168.82,53289969.0,171.92,168.82,168.82,170.29,53355055.0,1.0,0.0,AAPL,XNAS,2024-04-04T00:00:00+0000
94,168.75,170.68,168.59,169.65,45525713.0,170.68,168.58,169.65,168.79,45571129.0,1.0,0.0,AAPL,XNAS,2024-04-03T00:00:00+0000
95,169.06,169.34,168.2302,168.84,47248438.0,169.34,168.2302,168.84,169.08,49013991.0,1.0,0.0,AAPL,XNAS,2024-04-02T00:00:00+0000
96,171.1875,171.23,169.48,170.03,42192764.0,171.25,169.475,170.03,171.19,43772506.0,1.0,0.0,AAPL,XNAS,2024-04-01T00:00:00+0000
97,171.75,172.23,170.51,171.48,65672690.0,172.23,170.51,171.48,171.75,65672690.0,1.0,0.0,AAPL,XNAS,2024-03-28T00:00:00+0000
98,170.42,173.6,170.11,173.31,58586073.0,173.6,170.11,173.31,170.41,60273265.0,1.0,0.0,AAPL,XNAS,2024-03-27T00:00:00+0000
99,170.0,171.42,169.6,169.71,56940474.0,171.42,169.58,169.71,170.0,57388449.0,1.0,0.0,AAPL,XNAS,2024-03-26T00:00:00+0000
